section,page_title,page_url,source_file,link_url,link_text,http_status,reason,wayback_url,wayback_timestamp,wayback_status
best-practices,Key Concepts in Historical Thinking,/best-practices/using-primary-sources/25443,best-practices/using-primary-sources/key-concepts-in-historical-thinking-25443.md,http://canadianmysteries.ca/en/3513.php,exercise,404,HTTP 404,http://web.archive.org/web/20240301114924/https://www.canadianmysteries.ca/en/3513.php,20240301114924,found
best-practices,Key Concepts in Historical Thinking,/best-practices/using-primary-sources/25443,best-practices/using-primary-sources/key-concepts-in-historical-thinking-25443.md,http://canadianmysteries.ca/en/4178.php,causation,404,HTTP 404,http://web.archive.org/web/20240301114635/https://www.canadianmysteries.ca/en/4178.php,20240301114635,found
best-practices,Key Concepts in Historical Thinking,/best-practices/using-primary-sources/25443,best-practices/using-primary-sources/key-concepts-in-historical-thinking-25443.md,http://canadianmysteries.ca/en/4179.php,bias,404,HTTP 404,http://web.archive.org/web/20240301095931/https://www.canadianmysteries.ca/en/4179.php,20240301095931,found
best-practices,Making Sense of Advertisements,/best-practices/using-primary-sources/14566,best-practices/using-primary-sources/making-sense-of-advertisements-14566.md,http://historymatters.gmu.edu/mse/ads/,guide,404,HTTP 404,http://web.archive.org/web/20250403014531/https://historymatters.gmu.edu/mse/ads/,20250403014531,found
best-practices,Making Sense of Documentary Photography,/best-practices/using-primary-sources/14568,best-practices/using-primary-sources/making-sense-of-documentary-photography-14568.md,http://historymatters.gmu.edu/mse/photos/,guide,404,HTTP 404,http://web.archive.org/web/20250317142003/https://historymatters.gmu.edu/mse/photos/,20250317142003,found
best-practices,Picturing America,/best-practices/using-primary-sources/24325,best-practices/using-primary-sources/picturing-america-24325.md,http://picturingamerica.neh.gov/index.php?sec=gallery,20 pieces of art,CONN_ERROR,Connection failed (site may be down),http://web.archive.org/web/20160504032625/http://picturingamerica.neh.gov:80/index.php?sec=gallery,20160504032625,found
best-practices,Picturing America,/best-practices/using-primary-sources/24325,best-practices/using-primary-sources/picturing-america-24325.md,http://picturingamerica.neh.gov/educators.php?subPage=edu_guide,short essay,CONN_ERROR,Connection failed (site may be down),http://web.archive.org/web/20160430074246/http://picturingamerica.neh.gov/educators.php?subPage=edu_guide,20160430074246,found
best-practices,Picturing America,/best-practices/using-primary-sources/24325,best-practices/using-primary-sources/picturing-america-24325.md,http://picturingamerica.neh.gov/educators.php?subPage=edu_headstart,a guide,CONN_ERROR,Connection failed (site may be down),http://web.archive.org/web/20160516155500/http://picturingamerica.neh.gov:80/educators.php?subPage=edu_headstart,20160516155500,found
best-practices,Primary Source Sets on the Web,/best-practices/using-primary-sources/24490,best-practices/using-primary-sources/primary-source-sets-on-the-web-24490.md,https://hsi.wm.edu/,Historical Scene Investigation,CONN_ERROR,Connection failed (site may be down),http://web.archive.org/web/20231211120951/https://hsi.wm.edu/,20231211120951,found
best-practices,SCIM-C: Historical Source Analysis,/best-practices/using-primary-sources/23513,best-practices/using-primary-sources/scim-c-historical-source-analysis-23513.md,http://www.historicalinquiry.com/scim/index.cfm,section,404,HTTP 404,http://web.archive.org/web/20221020125013/http://www.historicalinquiry.com/scim/index.cfm,20221020125013,found
best-practices,Secondary Sources: What Are They?,/best-practices/using-primary-sources/19080,best-practices/using-primary-sources/secondary-sources-what-are-they-19080.md,http://www.nationalhistoryday.org/,"National History Day,",CONN_ERROR,Connection failed (site may be down),http://web.archive.org/web/20190125205834/http://www.nationalhistoryday.org:80/,20190125205834,found
best-practices,Teaching with Historic Places,/best-practices/using-primary-sources/22432,best-practices/using-primary-sources/teaching-with-historic-places-22432.md,http://www.nps.gov/history/NR/twhp/,Teaching with Historic Places,404,HTTP 404,http://web.archive.org/web/20140712171503/http://www.nps.gov/history/nr/twhp/,20140712171503,found
