section,page_title,page_url,source_file,link_url,link_text
best-practices,Foundations of American History: John Brown Song,/best-practices/teaching-in-action/22158,best-practices/teaching-in-action/foundations-of-american-history-john-brown-song-22158.md,http://chnm.gmu.edu/loudountah/lessons/lesson5/BrownBodyGuidingQuestions.pdf,Guiding Question worksheet
best-practices,Foundations of American History: John Brown Song,/best-practices/teaching-in-action/22158,best-practices/teaching-in-action/foundations-of-american-history-john-brown-song-22158.md,http://chnm.gmu.edu/loudountah/source-analysis/john-brown-song/lesson-plan/,comprehensive lesson plan
best-practices,Geo-Literacy Project: Students Explore Their World,/best-practices/teaching-in-action/23798,best-practices/teaching-in-action/geo-literacy-project-students-explore-their-world-23798.md,http://www.edutopia.org/geography-literacy-elementary-project-video,website
best-practices,Historical Context and Roleplaying,/best-practices/teaching-in-action/14947,best-practices/teaching-in-action/historical-context-and-roleplaying-14947.md,http://www.tc.edu/ncrest/teachers/andrews/index.htm,website
best-practices,Massive Resistance through Political Cartoons,/best-practices/teaching-in-action/23894,best-practices/teaching-in-action/massive-resistance-through-political-cartoons-23894.md,http://chnm.gmu.edu/acpstah/,"Teaching American
  History"
best-practices,Massive Resistance through Political Cartoons,/best-practices/teaching-in-action/23894,best-practices/teaching-in-action/massive-resistance-through-political-cartoons-23894.md,http://www.neh.gov/divisions/education/summer-programs,"National Endowment for the Humanities Summer
  Institute"
best-practices,Massive Resistance through Political Cartoons,/best-practices/teaching-in-action/23894,best-practices/teaching-in-action/massive-resistance-through-political-cartoons-23894.md,http://www.aamprogram.org/index2.aspx,"The Adventure
  of the American Mind"
best-practices,Opening up the Textbook: Voices from My Lai,/best-practices/teaching-in-action/23893,best-practices/teaching-in-action/opening-up-the-textbook-voices-from-my-lai-23893.md,http://chnm.gmu.edu/mcpstah/,Conflict and Consensus: Key Moments in U.S. History
best-practices,Organize Your Thinking to Critically Analyze Text,/best-practices/teaching-in-action/25461,best-practices/teaching-in-action/organize-your-thinking-to-critically-analyze-text-25461.md,https://www.teachingchannel.org/videos/organize-your-thinking-to-critically-analyze-text?resume=0,video
best-practices,Prologue to Studying the Emancipation Proclamation,/best-practices/teaching-in-action/21706,best-practices/teaching-in-action/prologue-to-studying-the-emancipation-proclamation-21706.md,http://chnm.gmu.edu/mcpstah/source-analysis/civil-war-letters/classroom-practice/,This website
best-practices,Prologue to Studying the Emancipation Proclamation,/best-practices/teaching-in-action/21706,best-practices/teaching-in-action/prologue-to-studying-the-emancipation-proclamation-21706.md,http://chnm.gmu.edu/mcpstah/source-analysis/,Source Analysis
best-practices,Prologue to Studying the Emancipation Proclamation,/best-practices/teaching-in-action/21706,best-practices/teaching-in-action/prologue-to-studying-the-emancipation-proclamation-21706.md,http://chnm.gmu.edu/mcpstah/source-analysis/civil-war-letters/scholar-analysis/,Scholar Analysis
best-practices,Prologue to Studying the Emancipation Proclamation,/best-practices/teaching-in-action/21706,best-practices/teaching-in-action/prologue-to-studying-the-emancipation-proclamation-21706.md,http://chnm.gmu.edu/mcpstah/source-analysis/civil-war-letters/teacher-analysis/,Teacher Analysis
best-practices,Prologue to Studying the Emancipation Proclamation,/best-practices/teaching-in-action/21706,best-practices/teaching-in-action/prologue-to-studying-the-emancipation-proclamation-21706.md,http://chnm.gmu.edu/mcpstah/source-analysis/civil-war-letters/read-the-letters/,two letters
best-practices,Reading and Thinking Aloud to Understand,/best-practices/teaching-in-action/20795,best-practices/teaching-in-action/reading-and-thinking-aloud-to-understand-20795.md,http://www.wested.org/cs/ra/print/docs/ra/home.htm,Reading Apprenticeship
best-practices,Reading and Thinking Aloud to Understand,/best-practices/teaching-in-action/20795,best-practices/teaching-in-action/reading-and-thinking-aloud-to-understand-20795.md,https://readingapprenticeship.org/video/honors-u-s-history/,video
best-practices,Reading and Thinking Aloud to Understand,/best-practices/teaching-in-action/20795,best-practices/teaching-in-action/reading-and-thinking-aloud-to-understand-20795.md,http://www.pbs.org/childofcamp/history/index.html,Japanese American internment
best-practices,Reading and Thinking Aloud to Understand,/best-practices/teaching-in-action/20795,best-practices/teaching-in-action/reading-and-thinking-aloud-to-understand-20795.md,http://www.law.cornell.edu/supct/html/historics/USSC_CR_0323_0214_ZO.html,*Korematsu vs. the United States*
best-practices,Teaching Historical Interpretation through Planning Documentary Films,/best-practices/teaching-in-action/20341,best-practices/teaching-in-action/teaching-historical-interpretation-through-planning-documentary-films-20341.md,http://www.firstworldwar.com/battles/somme.htm,"Battle of the Somme,"
best-practices,Teaching Historical Interpretation through Planning Documentary Films,/best-practices/teaching-in-action/20341,best-practices/teaching-in-action/teaching-historical-interpretation-through-planning-documentary-films-20341.md,http://www.imdb.com/title/tt0006405/,documentary film
best-practices,Teaching Strategies for Museums: Graphic Organizers,/best-practices/teaching-in-action/24216,best-practices/teaching-in-action/teaching-strategies-for-museums-graphic-organizers-24216.md,http://www.smithsoniansource.org/display/topic/video/viewdetailstea.aspx?TopicId=1033,video
best-practices,Third Graders Analyzing Historical Sources,/best-practices/teaching-in-action/23724,best-practices/teaching-in-action/third-graders-analyzing-historical-sources-23724.md,http://www.bringinghistoryhome.org/,Bringing History Home
best-practices,What Does It Mean to Be an American?,/best-practices/teaching-in-action/22440,best-practices/teaching-in-action/what-does-it-mean-to-be-an-american-22440.md,http://schools.nyc.gov/SchoolPortals/04/M057/default.htm,"James Weldon
  Johnson"
best-practices,Children’s Voices from the Civil War,/best-practices/teaching-with-textbooks/22467,best-practices/teaching-with-textbooks/childrens-voices-from-the-civil-war-22467.md,http://www.jhucsos.org/,"Center for Social Organization
  of Schools"
best-practices,Children’s Voices from the Civil War,/best-practices/teaching-with-textbooks/22467,best-practices/teaching-with-textbooks/childrens-voices-from-the-civil-war-22467.md,http://www.amazon.com/History-US-Book-Terrible-1855-1865/dp/0195153308/ref=sr_1_1?ie=UTF8&s=books&qid=1241881598&sr=1-1,excellent textbook *A History of US*
best-practices,Children’s Voices from the Civil War,/best-practices/teaching-with-textbooks/22467,best-practices/teaching-with-textbooks/childrens-voices-from-the-civil-war-22467.md,http://memory.loc.gov/cgi-bin/query/r?ammem/awhbib:@field(NUMBER+@od1(cph+3g07983,"photograph, ""A Soldier and His Family."""
best-practices,Learning Menus: Textbooks a la Carte,/best-practices/teaching-with-textbooks/25584,best-practices/teaching-with-textbooks/learning-menus-textbooks-a-la-carte-25584.md,http://differentiationcentral.com/what-is-differentiated-instruction/,differentiated learning
best-practices,Learning Menus: Textbooks a la Carte,/best-practices/teaching-with-textbooks/25584,best-practices/teaching-with-textbooks/learning-menus-textbooks-a-la-carte-25584.md,https://www.teachingchannel.org/video/differentiating-instruction-strategy,Differentiating with Learning Menus
best-practices,Learning Menus: Textbooks a la Carte,/best-practices/teaching-with-textbooks/25584,best-practices/teaching-with-textbooks/learning-menus-textbooks-a-la-carte-25584.md,https://www.teachingchannel.org/,Teaching Channel website
best-practices,Opening Up the Textbook,/best-practices/teaching-with-textbooks/19438,best-practices/teaching-with-textbooks/opening-up-the-textbook-19438.md,http://historicalthinkingmatters.org/,Historical Thinking Matters
best-practices,Opening Up the Textbook,/best-practices/teaching-with-textbooks/19438,best-practices/teaching-with-textbooks/opening-up-the-textbook-19438.md,http://historicalthinkingmatters.org/rosaparks/1/materials/textbook/,Rosa Parks and Montgomery Bus Boycott
best-practices,Opening Up the Textbook,/best-practices/teaching-with-textbooks/19438,best-practices/teaching-with-textbooks/opening-up-the-textbook-19438.md,http://historicalthinkingmatters.org/spanishamericanwar/1/materials/textbook/,Causes of the Spanish-American War
best-practices,Questioning Textbook Authority,/best-practices/teaching-with-textbooks/20571,best-practices/teaching-with-textbooks/questioning-textbook-authority-20571.md,http://sitemaker.soe.umich.edu/soe/faculty_introduction&mode=single&recordID=50709,Robert Bain
best-practices,Questioning Textbook Authority,/best-practices/teaching-with-textbooks/20571,best-practices/teaching-with-textbooks/questioning-textbook-authority-20571.md,http://www.nps.gov/history/nr/twhp/period.htm,Lesson Plans at Teaching with Historic Places
best-practices,Questioning Textbook Authority,/best-practices/teaching-with-textbooks/20571,best-practices/teaching-with-textbooks/questioning-textbook-authority-20571.md,http://memory.loc.gov/ammem/index.html,American Memory
best-practices,Questioning Textbook Authority,/best-practices/teaching-with-textbooks/20571,best-practices/teaching-with-textbooks/questioning-textbook-authority-20571.md,http://historicalthinkingmatters.org/,Historical Thinking Matters
best-practices,Questioning Textbook Authority,/best-practices/teaching-with-textbooks/20571,best-practices/teaching-with-textbooks/questioning-textbook-authority-20571.md,http://apcentral.collegeboard.com/apc/public/courses/teachers_corner/3501.html,Teaching and Curriculum Units at the AP United States History Course Home Page
best-practices,The Grammar of History Textbooks Part II: Questioning the Text,/best-practices/teaching-with-textbooks/20574,best-practices/teaching-with-textbooks/the-grammar-of-history-textbooks-part-ii-questioning-the-text-20574.md,http://historyproject.ucdavis.edu,History Project at UC Davis
best-practices,The Grammar of History Textbooks Part II: Questioning the Text,/best-practices/teaching-with-textbooks/20574,best-practices/teaching-with-textbooks/the-grammar-of-history-textbooks-part-ii-questioning-the-text-20574.md,http://csmp.ucop.edu/chssp,California History-Social Science Project
best-practices,The Grammar of History Textbooks Part II: Questioning the Text,/best-practices/teaching-with-textbooks/20574,best-practices/teaching-with-textbooks/the-grammar-of-history-textbooks-part-ii-questioning-the-text-20574.md,http://www.constitution.org/rf/sedition_1798.htm,Alien and Sedition Acts
best-practices,The Grammar of History Textbooks Part II: Questioning the Text,/best-practices/teaching-with-textbooks/20574,best-practices/teaching-with-textbooks/the-grammar-of-history-textbooks-part-ii-questioning-the-text-20574.md,http://www.alea.edu.au/documents/item/70,"""Literacy in history: Language and meaning,"""
best-practices,Using Historiography to Analyze the Mexican-American War,/best-practices/teaching-with-textbooks/20424,best-practices/teaching-with-textbooks/using-historiography-to-analyze-the-mexican-american-war-20424.md,http://www.thenewpress.com/index.php?option=com_catalog&task=author&author_id=P34355,"two books on history education published
  through The New Press"
best-practices,Using Historiography to Analyze the Mexican-American War,/best-practices/teaching-with-textbooks/20424,best-practices/teaching-with-textbooks/using-historiography-to-analyze-the-mexican-american-war-20424.md,http://www.smithsonianeducation.org/educators/lesson_plans/borders/lesson1.html,"*Establishing Borders: The Expansion of the United States, 1846–1848*"
best-practices,Using Historiography to Analyze the Mexican-American War,/best-practices/teaching-with-textbooks/20424,best-practices/teaching-with-textbooks/using-historiography-to-analyze-the-mexican-american-war-20424.md,http://www.pbs.org/kera/usmexicanwar/index_flash.html,*The U.S.-Mexican War: 1846–1848*
best-practices,Using Historiography to Analyze the Mexican-American War,/best-practices/teaching-with-textbooks/20424,best-practices/teaching-with-textbooks/using-historiography-to-analyze-the-mexican-american-war-20424.md,http://www.dmwv.org/mexwar/mexwar1.htm,The U.S.-Mexican War
best-practices,Using Historiography to Analyze the Mexican-American War,/best-practices/teaching-with-textbooks/20424,best-practices/teaching-with-textbooks/using-historiography-to-analyze-the-mexican-american-war-20424.md,http://www.npr.org/templates/story/story.php?storyId=6517854,How the Understanding of U.S. History Changes.
best-practices,Using Historiography to Analyze the Mexican-American War,/best-practices/teaching-with-textbooks/20424,best-practices/teaching-with-textbooks/using-historiography-to-analyze-the-mexican-american-war-20424.md,http://findarticles.com/p/articles/mi_hb6541/is_1_71/ai_n29324308/,Comparing International Textbooks to Develop Historical Thinking
best-practices,Analyzing Composition in Paintings,/best-practices/using-primary-sources/24327,best-practices/using-primary-sources/analyzing-composition-in-paintings-24327.md,https://www.metmuseum.org/learn/educators/lesson-plans/bravery-stands-tall,explanation
best-practices,Bringing History Home’s SOCC Analysis Technique,/best-practices/using-primary-sources/25148,best-practices/using-primary-sources/bringing-history-homes-socc-analysis-technique-25148.md,http://www.bringinghistoryhome.org/,Bringing History Home
best-practices,Bringing History Home’s SOCC Analysis Technique,/best-practices/using-primary-sources/25148,best-practices/using-primary-sources/bringing-history-homes-socc-analysis-technique-25148.md,http://www.bringinghistoryhome.org/assets/bringinghistoryhome/socc document analysis worksheet.pdf,Document Analysis
best-practices,Bringing History Home’s SOCC Analysis Technique,/best-practices/using-primary-sources/25148,best-practices/using-primary-sources/bringing-history-homes-socc-analysis-technique-25148.md,http://www.bringinghistoryhome.org/assets/bringinghistoryhome/socc visual image analysis worksheet.pdf,Visual Analysis
best-practices,Critically Analyzing Information Sources,/best-practices/using-primary-sources/24463,best-practices/using-primary-sources/critically-analyzing-information-sources-24463.md,https://olinuris.library.cornell.edu/ref/research/webeval.html,page
best-practices,Document Analysis Worksheets,/best-practices/using-primary-sources/14578,best-practices/using-primary-sources/document-analysis-worksheets-14578.md,http://www.archives.gov/education/lessons/worksheets/index.html,worksheets
best-practices,Focus on Film,/best-practices/using-primary-sources/25232,best-practices/using-primary-sources/focus-on-film-25232.md,http://www.nationalarchives.gov.uk/education/focuson/film/,site
best-practices,"George Washington, A National Treasure",/best-practices/using-primary-sources/24464,best-practices/using-primary-sources/george-washington-a-national-treasure-24464.md,http://www.georgewashington.si.edu/kids/teacherguide.html,a series of lesson plans
best-practices,How to Read a Landscape,/best-practices/using-primary-sources/25233,best-practices/using-primary-sources/how-to-read-a-landscape-25233.md,http://www.williamcronon.net/researching/landscapes.htm,site
best-practices,Interactive Exercises—Analyzing Artifacts,/best-practices/using-primary-sources/25684,best-practices/using-primary-sources/interactive-exercisesanalyzing-artifacts-25684.md,http://www.learner.org/courses/amerhistory/interactives/artifacts/index.html,interactive exercise
best-practices,Interactivity,/best-practices/using-primary-sources/24462,best-practices/using-primary-sources/interactivity-24462.md,http://www.learner.org/interactives/historical/index.html,tool
best-practices,Interactivity,/best-practices/using-primary-sources/24462,best-practices/using-primary-sources/interactivity-24462.md,http://www.learner.org/interactives/,Annenberg Media website
best-practices,Key Concepts in Historical Thinking,/best-practices/using-primary-sources/25443,best-practices/using-primary-sources/key-concepts-in-historical-thinking-25443.md,http://canadianmysteries.ca/en/keyConcepts.php,site
best-practices,Key Concepts in Historical Thinking,/best-practices/using-primary-sources/25443,best-practices/using-primary-sources/key-concepts-in-historical-thinking-25443.md,http://canadianmysteries.ca/en/3513.php,exercise
best-practices,Key Concepts in Historical Thinking,/best-practices/using-primary-sources/25443,best-practices/using-primary-sources/key-concepts-in-historical-thinking-25443.md,http://canadianmysteries.ca/en/4178.php,causation
best-practices,Key Concepts in Historical Thinking,/best-practices/using-primary-sources/25443,best-practices/using-primary-sources/key-concepts-in-historical-thinking-25443.md,http://canadianmysteries.ca/en/4179.php,bias
best-practices,Making Sense of Advertisements,/best-practices/using-primary-sources/14566,best-practices/using-primary-sources/making-sense-of-advertisements-14566.md,http://historymatters.gmu.edu/mse/ads/,guide
best-practices,Making Sense of American Popular Songs,/best-practices/using-primary-sources/14567,best-practices/using-primary-sources/making-sense-of-american-popular-songs-14567.md,http://historymatters.gmu.edu/mse/songs/,guide
best-practices,Making Sense of Documentary Photography,/best-practices/using-primary-sources/14568,best-practices/using-primary-sources/making-sense-of-documentary-photography-14568.md,http://historymatters.gmu.edu/mse/photos/,guide
best-practices,Making Sense of Films,/best-practices/using-primary-sources/14562,best-practices/using-primary-sources/making-sense-of-films-14562.md,http://historymatters.gmu.edu/mse/film/,Making Sense of Films
best-practices,Making Sense of Letters and Diaries,/best-practices/using-primary-sources/14565,best-practices/using-primary-sources/making-sense-of-letters-and-diaries-14565.md,http://historymatters.gmu.edu/mse/letters/,guide
best-practices,Making Sense of Maps,/best-practices/using-primary-sources/14563,best-practices/using-primary-sources/making-sense-of-maps-14563.md,http://historymatters.gmu.edu/mse/maps/,Making Sense of Maps
best-practices,Making Sense of Numbers,/best-practices/using-primary-sources/14564,best-practices/using-primary-sources/making-sense-of-numbers-14564.md,http://historymatters.gmu.edu/mse/numbers/,guide
best-practices,Making Sense of Oral History,/best-practices/using-primary-sources/14561,best-practices/using-primary-sources/making-sense-of-oral-history-14561.md,http://historymatters.gmu.edu/mse/oral/,Making Sense of Oral History
best-practices,Online Primary Source Collections,/best-practices/using-primary-sources/24491,best-practices/using-primary-sources/online-primary-source-collections-24491.md,http://www.ourdocuments.gov/content.php?flash=true&page=milestone,100 Milestone Documents
best-practices,Online Primary Source Collections,/best-practices/using-primary-sources/24491,best-practices/using-primary-sources/online-primary-source-collections-24491.md,http://avalon.law.yale.edu/,The Avalon Project
best-practices,Online Primary Source Collections,/best-practices/using-primary-sources/24491,best-practices/using-primary-sources/online-primary-source-collections-24491.md,http://avalon.law.yale.edu/subject_menus/major.asp,“Document Collections”
best-practices,Online Primary Source Collections,/best-practices/using-primary-sources/24491,best-practices/using-primary-sources/online-primary-source-collections-24491.md,http://docsteach.org/documents,Docs Teach
best-practices,Online Primary Source Collections,/best-practices/using-primary-sources/24491,best-practices/using-primary-sources/online-primary-source-collections-24491.md,http://historymatters.gmu.edu/browse/manypasts/,Many Pasts
best-practices,Online Primary Source Collections,/best-practices/using-primary-sources/24491,best-practices/using-primary-sources/online-primary-source-collections-24491.md,http://www.smithsoniansource.org/,Smithsonian Source
best-practices,Online Primary Source Collections,/best-practices/using-primary-sources/24491,best-practices/using-primary-sources/online-primary-source-collections-24491.md,http://www.smithsoniansource.org/his/viewdetails.aspx,set
best-practices,People as Primary Sources: Conducting Interviews,/best-practices/using-primary-sources/24067,best-practices/using-primary-sources/people-as-primary-sources-conducting-interviews-24067.md,http://braceroarchive.org/,The Bracero Archive
best-practices,People as Primary Sources: Conducting Interviews,/best-practices/using-primary-sources/24067,best-practices/using-primary-sources/people-as-primary-sources-conducting-interviews-24067.md,http://braceroarchive.org/resources,tutorial
best-practices,Picturing America,/best-practices/using-primary-sources/24325,best-practices/using-primary-sources/picturing-america-24325.md,http://edsitement.neh.gov/curriculum-unit/composition-painting-everything-its-right-place,the basics of composition
best-practices,Picturing America,/best-practices/using-primary-sources/24325,best-practices/using-primary-sources/picturing-america-24325.md,http://picturingamerica.neh.gov/index.php?sec=gallery,20 pieces of art
best-practices,Picturing America,/best-practices/using-primary-sources/24325,best-practices/using-primary-sources/picturing-america-24325.md,http://picturingamerica.neh.gov/educators.php?subPage=edu_guide,short essay
best-practices,Picturing America,/best-practices/using-primary-sources/24325,best-practices/using-primary-sources/picturing-america-24325.md,http://picturingamerica.neh.gov/educators.php?subPage=edu_headstart,a guide
best-practices,Primary Source Sets on the Web,/best-practices/using-primary-sources/24490,best-practices/using-primary-sources/primary-source-sets-on-the-web-24490.md,http://www.dhr.history.vt.edu/modules/us/index.html,Digital History Reader
best-practices,Primary Source Sets on the Web,/best-practices/using-primary-sources/24490,best-practices/using-primary-sources/primary-source-sets-on-the-web-24490.md,http://edsitement.neh.gov/subject/history-social-studies,EDSITEment
best-practices,Primary Source Sets on the Web,/best-practices/using-primary-sources/24490,best-practices/using-primary-sources/primary-source-sets-on-the-web-24490.md,http://www.digitalhistory.uh.edu/active_learning/explorations/explorations.cfm,Explorations
best-practices,Primary Source Sets on the Web,/best-practices/using-primary-sources/24490,best-practices/using-primary-sources/primary-source-sets-on-the-web-24490.md,http://www.digitalhistory.uh.edu/voices/voices.cfm,Ethnic Voices section
best-practices,Primary Source Sets on the Web,/best-practices/using-primary-sources/24490,best-practices/using-primary-sources/primary-source-sets-on-the-web-24490.md,https://hsi.wm.edu/,Historical Scene Investigation
best-practices,Primary Source Sets on the Web,/best-practices/using-primary-sources/24490,best-practices/using-primary-sources/primary-source-sets-on-the-web-24490.md,http://historicalthinkingmatters.org/teachers/,Historical Thinking Matters
best-practices,Primary Source Sets on the Web,/best-practices/using-primary-sources/24490,best-practices/using-primary-sources/primary-source-sets-on-the-web-24490.md,http://www.gilderlehrman.org/history-now/2012-03/perspectives-america%E2%80%99s-wars,History Now
best-practices,Primary Source Sets on the Web,/best-practices/using-primary-sources/24490,best-practices/using-primary-sources/primary-source-sets-on-the-web-24490.md,http://www.loc.gov/teachers/classroommaterials/primarysourcesets/,Primary Source Sets
