section,subsection,page_title,page_url,source_file,total_links,live,dead_A,rebrand_probably_broken,rebrand_probably_fine,rebrand_needs_human,soft404_B,blocked_unknown,needs_human,bulk_delete_candidates,broken_with_wayback,broken_no_wayback,suggested_page_action
best-practices,using-primary-sources,Making Sense of American Popular Songs,/best-practices/using-primary-sources/14567,best-practices/using-primary-sources/making-sense-of-american-popular-songs-14567.md,1,0,0,0,0,0,0,1,0,0,0,0,fix-links-only
best-practices,using-primary-sources,Making Sense of Films,/best-practices/using-primary-sources/14562,best-practices/using-primary-sources/making-sense-of-films-14562.md,1,0,0,0,0,0,0,1,0,0,0,0,fix-links-only
best-practices,using-primary-sources,Making Sense of Letters and Diaries,/best-practices/using-primary-sources/14565,best-practices/using-primary-sources/making-sense-of-letters-and-diaries-14565.md,1,0,0,0,0,0,0,1,0,0,0,0,fix-links-only
best-practices,using-primary-sources,Making Sense of Maps,/best-practices/using-primary-sources/14563,best-practices/using-primary-sources/making-sense-of-maps-14563.md,1,0,0,0,0,0,0,1,0,0,0,0,fix-links-only
best-practices,using-primary-sources,Online Primary Source Collections,/best-practices/using-primary-sources/24491,best-practices/using-primary-sources/online-primary-source-collections-24491.md,7,6,0,0,1,0,0,0,0,4,0,0,fix-links-only
best-practices,using-primary-sources,Picturing America,/best-practices/using-primary-sources/24325,best-practices/using-primary-sources/picturing-america-24325.md,5,2,2,0,1,0,0,0,0,0,1,1,fix-links-only
best-practices,using-primary-sources,Primary Source Sets on the Web,/best-practices/using-primary-sources/24490,best-practices/using-primary-sources/primary-source-sets-on-the-web-24490.md,10,6,1,0,1,0,0,2,0,3,0,1,fix-links-only
best-practices,using-primary-sources,Reading Like a Historian,/best-practices/using-primary-sources/24001,best-practices/using-primary-sources/reading-like-a-historian-24001.md,1,0,1,0,0,0,0,0,0,0,1,0,fix-links-only
best-practices,using-primary-sources,SCIM-C: Historical Source Analysis,/best-practices/using-primary-sources/23513,best-practices/using-primary-sources/scim-c-historical-source-analysis-23513.md,4,3,1,0,0,0,0,0,0,0,0,1,fix-links-only
best-practices,using-primary-sources,The Civil War in Art: Teaching and Learning Through Chicago Collections,/best-practices/using-primary-sources/25742,best-practices/using-primary-sources/the-civil-war-in-art-teaching-and-learning-through-chicago-collections-25742.md,4,0,1,0,0,0,0,0,3,0,0,1,fix-links-only
blog,,150 Years Ago Today...,/nhec-blog/24465,blog/150-years-ago-today-24465.md,22,14,5,0,0,0,0,3,0,0,0,5,fix-links-only
blog,,236 Years Since the Boston Tea Party,/nhec-blog/23603,blog/236-years-since-the-boston-tea-party-23603.md,17,10,6,0,1,0,0,0,0,0,0,6,fix-links-only
blog,,"A Day On, Not a Day Off",/nhec-blog/24456,blog/a-day-on-not-a-day-off-24456.md,17,8,5,2,2,0,0,0,0,2,0,7,fix-links-only
blog,,A National Plan for Educational Technology,/nhec-blog/23672,blog/a-national-plan-for-educational-technology-23672.md,4,3,1,0,0,0,0,0,0,0,0,1,fix-links-only
blog,,A New Look at Abraham Lincoln,/nhec-blog/20291,blog/a-new-look-at-abraham-lincoln-20291.md,15,7,3,0,2,0,0,3,0,0,1,2,fix-links-only
blog,,A Roundup of Resources,/nhec-blog/23602,blog/a-roundup-of-resources-23602.md,13,6,2,0,0,0,0,5,0,2,0,2,fix-links-only
blog,,"Abraham Lincoln, Vampire Hunter?",/nhec-blog/25664,blog/abraham-lincoln-vampire-hunter-25664.md,2,1,1,0,0,0,0,0,0,1,0,1,fix-links-only
blog,,Adams Family Papers: Letters Behind an HBO Miniseries,/nhec-blog/19126,blog/adams-family-papers-letters-behind-an-hbo-miniseries-19126.md,4,2,2,0,0,0,0,0,0,0,0,2,fix-links-only
blog,,African American History Month 2011,/nhec-blog/24502,blog/african-american-history-month-2011-24502.md,11,4,2,1,2,0,0,2,0,6,0,3,fix-links-only
blog,,American Civil War Center at Historic Tredegar Launches Education Web Companion,/nhec-blog/19122,blog/american-civil-war-center-at-historic-tredegar-launches-education-web-companion-19122.md,4,2,2,0,0,0,0,0,0,0,0,2,fix-links-only
blog,,Amy Trenkle on Glogging Class Greats,/nhec-blog/24841,blog/amy-trenkle-on-glogging-class-greats-24841.md,7,4,0,0,0,0,0,3,0,7,0,0,fix-links-only
blog,,Amy Trenkle on National History Day—It's More than Just a Day…and It's More than Just History,/nhec-blog/24695,blog/amy-trenkle-on-national-history-dayits-more-than-just-a-dayand-its-more-than-just-history-24695.md,4,3,0,1,0,0,0,0,0,0,0,1,fix-links-only
blog,,An Ear for the Past: The National Jukebox,/nhec-blog/24817,blog/an-ear-for-the-past-the-national-jukebox-24817.md,8,1,1,0,0,0,0,6,0,3,0,1,fix-links-only
blog,,Another Kind of American Idol,/nhec-blog/21739,blog/another-kind-of-american-idol-21739.md,7,0,0,0,0,0,0,7,0,2,0,0,fix-links-only
blog,,Anthony Pellegrino on Teaching Segregated History,/nhec-blog/24714,blog/anthony-pellegrino-on-teaching-segregated-history-24714.md,3,1,0,0,0,0,0,2,0,2,0,0,fix-links-only
blog,,Anthony Pellegrino's Into the Weeds: Harnessing the Power of Music to Teach Social Studies,/nhec-blog/24532,blog/anthony-pellegrinos-into-the-weeds-harnessing-the-power-of-music-to-teach-social-studies-24532.md,1,0,1,0,0,0,0,0,0,0,1,0,fix-links-only
blog,,Architecture as a Primary Source in the Classroom,/nhec-blog/19085,blog/architecture-as-a-primary-source-in-the-classroom-19085.md,2,0,2,0,0,0,0,0,0,0,0,2,fix-links-only
blog,,Asian Pacific American Heritage Month 2011,/nhec-blog/24692,blog/asian-pacific-american-heritage-month-2011-24692.md,3,2,0,1,0,0,0,0,0,0,0,1,fix-links-only
blog,,August 1945: Hiroshima and Nagasaki,/nhec-blog/22461,blog/august-1945-hiroshima-and-nagasaki-22461.md,22,17,3,0,0,0,0,2,0,6,0,3,fix-links-only
blog,,Black Americans in Congress,/nhec-blog/19983,blog/black-americans-in-congress-19983.md,2,0,2,0,0,0,0,0,0,0,0,2,fix-links-only
blog,,"Bookmark This! America, the Story of Us on History Channel",/nhec-blog/23967,blog/bookmark-this-america-the-story-of-us-on-history-channel-23967.md,9,6,2,0,0,0,0,1,0,0,0,2,fix-links-only
blog,,Bookmark This! Beneath the Surface of Wikipedia,/nhec-blog/22028,blog/bookmark-this-beneath-the-surface-of-wikipedia-22028.md,7,6,1,0,0,0,0,0,0,0,0,1,fix-links-only
blog,,Bookmark This! Blogs for History Teachers Worth a Visit,/nhec-blog/22442,blog/bookmark-this-blogs-for-history-teachers-worth-a-visit-22442.md,7,5,2,0,0,0,0,0,0,0,0,2,fix-links-only
blog,,Bookmark This! Contests for Students and Teachers,/nhec-blog/23710,blog/bookmark-this-contests-for-students-and-teachers-23710.md,6,2,1,0,0,0,0,2,1,0,0,1,fix-links-only
blog,,Bookmark This! Gilder Lehrman's History Now,/nhec-blog/22907,blog/bookmark-this-gilder-lehrmans-history-now-22907.md,7,1,0,0,0,0,0,6,0,0,0,0,fix-links-only
blog,,Bookmark This! History and Headlines,/nhec-blog/23530,blog/bookmark-this-history-and-headlines-23530.md,11,0,0,0,0,0,0,11,0,0,0,0,fix-links-only
blog,,Bookmark This! New and Improved Websites and Lesson Plans,/nhec-blog/22466,blog/bookmark-this-new-and-improved-websites-and-lesson-plans-22466.md,7,2,2,0,3,0,0,0,0,0,0,2,fix-links-only
blog,,Bookmark This! Our Courts Especially for Middle School Students,/nhec-blog/22482,blog/bookmark-this-our-courts-especially-for-middle-school-students-22482.md,6,5,1,0,0,0,0,0,0,0,1,0,fix-links-only
blog,,Bookmark This! Teacher Resources at the Library of Congress,/nhec-blog/22366,blog/bookmark-this-teacher-resources-at-the-library-of-congress-22366.md,11,5,6,0,0,0,0,0,0,2,0,6,fix-links-only
blog,,"Bookmark This! Teachers, Teens, and Technology",/nhec-blog/24065,blog/bookmark-this-teachers-teens-and-technology-24065.md,7,5,2,0,0,0,0,0,0,0,2,0,fix-links-only
blog,,Bookmark This! Teaching Mexican American History with the Bracero Program,/nhec-blog/22879,blog/bookmark-this-teaching-mexican-american-history-with-the-bracero-program-22879.md,4,2,1,0,0,0,0,1,0,1,1,0,fix-links-only
blog,,Bookmark This! Virtual Fieldtrips,/nhec-blog/22950,blog/bookmark-this-virtual-fieldtrips-22950.md,10,6,2,0,0,0,1,1,0,0,0,2,fix-links-only
blog,,Bookmark This! World War II Interactive Collection: Free From Footnote (December only),/nhec-blog/23632,blog/bookmark-this-world-war-ii-interactive-collection-free-from-footnote-december-only-23632.md,14,10,3,0,0,1,0,0,0,3,0,3,fix-links-only
blog,,"Bring ""The National Parks: America's Best Idea"" into the Classroom",/nhec-blog/23431,blog/bring-the-national-parks-americas-best-idea-into-the-classroom-23431.md,10,9,0,0,0,0,0,1,0,0,0,0,fix-links-only
blog,,Bringing National Parks into the Classroom,/nhec-blog/19549,blog/bringing-national-parks-into-the-classroom-19549.md,3,2,1,0,0,0,0,0,0,0,0,1,fix-links-only
blog,,Bringing Primary Sources into the Classroom,/nhec-blog/23898,blog/bringing-primary-sources-into-the-classroom-23898.md,9,7,1,0,1,0,0,0,0,4,0,1,fix-links-only
blog,,"Chronicling America Newspaper Site Adds More Pages, Features",/nhec-blog/19123,blog/chronicling-america-newspaper-site-adds-more-pages-features-19123.md,5,2,0,0,2,0,0,1,0,5,0,0,fix-links-only
blog,,Cintia Cabib's Interdisciplinary Gardening,/nhec-blog/24668,blog/cintia-cabibs-interdisciplinary-gardening-24668.md,5,3,2,0,0,0,0,0,0,0,0,2,fix-links-only
blog,,Classroom Resources: Presidential Inaugurals,/nhec-blog/20576,blog/classroom-resources-presidential-inaugurals-20576.md,25,17,6,0,1,0,0,1,0,6,0,6,fix-links-only
blog,,Comic Books in the History Classroom,/nhec-blog/24707,blog/comic-books-in-the-history-classroom-24707.md,6,3,1,0,1,0,0,1,0,2,0,1,fix-links-only
blog,,Comment Period Begins on Changes to Selection Criteria for Teaching American History Grants,/nhec-blog/20296,blog/comment-period-begins-on-changes-to-selection-criteria-for-teaching-american-history-grants-20296.md,1,0,0,0,0,0,0,1,0,0,0,0,fix-links-only
blog,,Conference-going for the Educational Professional,/nhec-blog/24469,blog/conference-going-for-the-educational-professional-24469.md,8,4,2,0,0,1,0,1,0,0,0,2,fix-links-only
blog,,Constitution Day 2010,/nhec-blog/24230,blog/constitution-day-2010-24230.md,15,7,5,0,3,0,0,0,0,6,0,5,fix-links-only
blog,,Constitution Day 2012: Founding Documents,/nhec-blog/25715,blog/constitution-day-2012-founding-documents-25715.md,1,0,0,0,1,0,0,0,0,1,0,0,fix-links-only
blog,,Copyright: Finding Images to Tell the Story of History,/nhec-blog/24592,blog/copyright-finding-images-to-tell-the-story-of-history-24592.md,11,10,1,0,0,0,0,0,0,8,0,1,fix-links-only
blog,,Department of Education Announces TAH Grant Awards,/nhec-blog/22431,blog/department-of-education-announces-tah-grant-awards-22431.md,2,1,0,0,0,0,0,1,0,0,0,0,fix-links-only
blog,,Department of Education Publishes 2009 Teaching American History Grant Notice,/nhec-blog/20536,blog/department-of-education-publishes-2009-teaching-american-history-grant-notice-20536.md,2,1,0,0,1,0,0,0,0,0,0,0,fix-links-only
blog,,Diana Laufenberg on Teaching History Thematically,/nhec-blog/24585,blog/diana-laufenberg-on-teaching-history-thematically-24585.md,11,5,6,0,0,0,0,0,0,0,0,6,fix-links-only
blog,,Diana Laufenberg on the Power of Visuals,/nhec-blog/24716,blog/diana-laufenberg-on-the-power-of-visuals-24716.md,13,11,1,0,0,1,0,0,0,0,0,1,fix-links-only
blog,,Dozens of Distinctive Destinations,/nhec-blog/19433,blog/dozens-of-distinctive-destinations-19433.md,2,1,1,0,0,0,0,0,0,0,0,1,fix-links-only
blog,,Elizabeth Glynn on Using Art to Create Interdisciplinary Classrooms,/nhec-blog/24980,blog/elizabeth-glynn-on-using-art-to-create-interdisciplinary-classrooms-24980.md,1,0,1,0,0,0,0,0,0,1,0,1,fix-links-only
blog,,Elizabeth Schaefer on the Interactive Declaration of Independence,/nhec-blog/24320,blog/elizabeth-schaefer-on-the-interactive-declaration-of-independence-24320.md,1,0,1,0,0,0,0,0,0,1,0,1,fix-links-only
