section,page_title,page_url,source_file,link_url,link_text,http_status,final_url,remote_title,redirect_domain_changed,needs_review,reason
best-practices,Prologue to Studying the Emancipation Proclamation,/best-practices/teaching-in-action/21706,best-practices/teaching-in-action/prologue-to-studying-the-emancipation-proclamation-21706.md,http://chnm.gmu.edu/mcpstah/source-analysis/civil-war-letters/read-the-letters/,two letters,403,https://chnm.gmu.edu/mcpstah/source-analysis/civil-war-letters/read-the-letters/,,False,True,HTTP 403
best-practices,Reading and Thinking Aloud to Understand,/best-practices/teaching-in-action/20795,best-practices/teaching-in-action/reading-and-thinking-aloud-to-understand-20795.md,http://www.wested.org/cs/ra/print/docs/ra/home.htm,Reading Apprenticeship,404,https://www.wested.org/cs/ra/print/docs/ra/home.htm,,False,True,HTTP 404
best-practices,Reading and Thinking Aloud to Understand,/best-practices/teaching-in-action/20795,best-practices/teaching-in-action/reading-and-thinking-aloud-to-understand-20795.md,https://readingapprenticeship.org/video/honors-u-s-history/,video,200,https://disciplinaryliteracy.wested.org/,Disciplinary Literacy,True,True,redirected to different domain: disciplinaryliteracy.wested.org
best-practices,Teaching Historical Interpretation through Planning Documentary Films,/best-practices/teaching-in-action/20341,best-practices/teaching-in-action/teaching-historical-interpretation-through-planning-documentary-films-20341.md,http://www.firstworldwar.com/battles/somme.htm,"Battle of the Somme,",SSL_ERROR,,,False,True,SSL certificate error
best-practices,What Does It Mean to Be an American?,/best-practices/teaching-in-action/22440,best-practices/teaching-in-action/what-does-it-mean-to-be-an-american-22440.md,http://schools.nyc.gov/SchoolPortals/04/M057/default.htm,"James Weldon
  Johnson",200,https://schoolsearch.schools.nyc/,Find a School - New York City Department of Education,True,True,redirected to different domain: schoolsearch.schools.nyc
best-practices,Children’s Voices from the Civil War,/best-practices/teaching-with-textbooks/22467,best-practices/teaching-with-textbooks/childrens-voices-from-the-civil-war-22467.md,http://www.jhucsos.org/,"Center for Social Organization
  of Schools",403,https://education.jhu.edu/csos,,True,True,HTTP 403; redirected to different domain: education.jhu.edu
best-practices,Children’s Voices from the Civil War,/best-practices/teaching-with-textbooks/22467,best-practices/teaching-with-textbooks/childrens-voices-from-the-civil-war-22467.md,http://memory.loc.gov/cgi-bin/query/r?ammem/awhbib:@field(NUMBER+@od1(cph+3g07983,"photograph, ""A Soldier and His Family.""",TIMEOUT,,,False,True,Timed out after 15s
best-practices,Learning Menus: Textbooks a la Carte,/best-practices/teaching-with-textbooks/25584,best-practices/teaching-with-textbooks/learning-menus-textbooks-a-la-carte-25584.md,https://www.teachingchannel.org/video/differentiating-instruction-strategy,Differentiating with Learning Menus,CONN_ERROR,,,False,True,Connection failed (site may be down)
best-practices,Learning Menus: Textbooks a la Carte,/best-practices/teaching-with-textbooks/25584,best-practices/teaching-with-textbooks/learning-menus-textbooks-a-la-carte-25584.md,https://www.teachingchannel.org/,Teaching Channel website,CONN_ERROR,,,False,True,Connection failed (site may be down)
best-practices,Questioning Textbook Authority,/best-practices/teaching-with-textbooks/20571,best-practices/teaching-with-textbooks/questioning-textbook-authority-20571.md,http://sitemaker.soe.umich.edu/soe/faculty_introduction&mode=single&recordID=50709,Robert Bain,CONN_ERROR,,,False,True,Connection failed (site may be down)
best-practices,Questioning Textbook Authority,/best-practices/teaching-with-textbooks/20571,best-practices/teaching-with-textbooks/questioning-textbook-authority-20571.md,http://www.nps.gov/history/nr/twhp/period.htm,Lesson Plans at Teaching with Historic Places,404,https://www.nps.gov/nr/twhp/period.htm,,False,True,HTTP 404
best-practices,Questioning Textbook Authority,/best-practices/teaching-with-textbooks/20571,best-practices/teaching-with-textbooks/questioning-textbook-authority-20571.md,http://memory.loc.gov/ammem/index.html,American Memory,TIMEOUT,,,False,True,Timed out after 15s
best-practices,Questioning Textbook Authority,/best-practices/teaching-with-textbooks/20571,best-practices/teaching-with-textbooks/questioning-textbook-authority-20571.md,http://apcentral.collegeboard.com/apc/public/courses/teachers_corner/3501.html,Teaching and Curriculum Units at the AP United States History Course Home Page,200,https://apcentral.collegeboard.org/courses/ap-united-states-history,AP United States History Course – AP Central | College Board,True,True,redirected to different domain: apcentral.collegeboard.org
best-practices,The Grammar of History Textbooks Part II: Questioning the Text,/best-practices/teaching-with-textbooks/20574,best-practices/teaching-with-textbooks/the-grammar-of-history-textbooks-part-ii-questioning-the-text-20574.md,http://historyproject.ucdavis.edu,History Project at UC Davis,403,https://historyproject.ucdavis.edu/,,False,True,HTTP 403
best-practices,The Grammar of History Textbooks Part II: Questioning the Text,/best-practices/teaching-with-textbooks/20574,best-practices/teaching-with-textbooks/the-grammar-of-history-textbooks-part-ii-questioning-the-text-20574.md,http://csmp.ucop.edu/chssp,California History-Social Science Project,403,http://csmp.ucop.edu/chssp,,False,True,HTTP 403
best-practices,The Grammar of History Textbooks Part II: Questioning the Text,/best-practices/teaching-with-textbooks/20574,best-practices/teaching-with-textbooks/the-grammar-of-history-textbooks-part-ii-questioning-the-text-20574.md,http://www.alea.edu.au/documents/item/70,"""Literacy in history: Language and meaning,""",404,https://www.alea.edu.au/documents/item/70,,False,True,HTTP 404
best-practices,Using Historiography to Analyze the Mexican-American War,/best-practices/teaching-with-textbooks/20424,best-practices/teaching-with-textbooks/using-historiography-to-analyze-the-mexican-american-war-20424.md,http://www.thenewpress.com/index.php?option=com_catalog&task=author&author_id=P34355,"two books on history education published
  through The New Press",403,https://thenewpress.org/index.php?option=com_catalog&task=author&author_id=P34355,,True,True,HTTP 403; redirected to different domain: thenewpress.org
best-practices,Using Historiography to Analyze the Mexican-American War,/best-practices/teaching-with-textbooks/20424,best-practices/teaching-with-textbooks/using-historiography-to-analyze-the-mexican-american-war-20424.md,http://www.dmwv.org/mexwar/mexwar1.htm,The U.S.-Mexican War,404,https://www.dmwv.org/mexwar/mexwar1.htm,,False,True,HTTP 404
best-practices,Analyzing Composition in Paintings,/best-practices/using-primary-sources/24327,best-practices/using-primary-sources/analyzing-composition-in-paintings-24327.md,https://www.metmuseum.org/learn/educators/lesson-plans/bravery-stands-tall,explanation,429,https://www.metmuseum.org/learn/educators/lesson-plans/bravery-stands-tall,,False,True,HTTP 429
best-practices,Critically Analyzing Information Sources,/best-practices/using-primary-sources/24463,best-practices/using-primary-sources/critically-analyzing-information-sources-24463.md,https://olinuris.library.cornell.edu/ref/research/webeval.html,page,404,https://olinuris.library.cornell.edu/ref/research/webeval.html,,False,True,HTTP 404
best-practices,"George Washington, A National Treasure",/best-practices/using-primary-sources/24464,best-practices/using-primary-sources/george-washington-a-national-treasure-24464.md,http://www.georgewashington.si.edu/kids/teacherguide.html,a series of lesson plans,CONN_ERROR,,,False,True,Connection failed (site may be down)
best-practices,Interactive Exercises—Analyzing Artifacts,/best-practices/using-primary-sources/25684,best-practices/using-primary-sources/interactive-exercisesanalyzing-artifacts-25684.md,http://www.learner.org/courses/amerhistory/interactives/artifacts/index.html,interactive exercise,404,https://www.learner.org/courses/amerhistory/interactives/artifacts/index.html,,False,True,HTTP 404
best-practices,Interactivity,/best-practices/using-primary-sources/24462,best-practices/using-primary-sources/interactivity-24462.md,http://www.learner.org/interactives/historical/index.html,tool,404,https://www.learner.org/interactives/historical/index.html,,False,True,HTTP 404
best-practices,Interactivity,/best-practices/using-primary-sources/24462,best-practices/using-primary-sources/interactivity-24462.md,http://www.learner.org/interactives/,Annenberg Media website,404,https://www.learner.org/interactives/,,False,True,HTTP 404
best-practices,Key Concepts in Historical Thinking,/best-practices/using-primary-sources/25443,best-practices/using-primary-sources/key-concepts-in-historical-thinking-25443.md,http://canadianmysteries.ca/en/keyConcepts.php,site,404,https://canadianmysteries.ca/en/keyConcepts.php,,False,True,HTTP 404
best-practices,Key Concepts in Historical Thinking,/best-practices/using-primary-sources/25443,best-practices/using-primary-sources/key-concepts-in-historical-thinking-25443.md,http://canadianmysteries.ca/en/3513.php,exercise,404,https://canadianmysteries.ca/en/3513.php,,False,True,HTTP 404
best-practices,Key Concepts in Historical Thinking,/best-practices/using-primary-sources/25443,best-practices/using-primary-sources/key-concepts-in-historical-thinking-25443.md,http://canadianmysteries.ca/en/4178.php,causation,404,https://canadianmysteries.ca/en/4178.php,,False,True,HTTP 404
best-practices,Key Concepts in Historical Thinking,/best-practices/using-primary-sources/25443,best-practices/using-primary-sources/key-concepts-in-historical-thinking-25443.md,http://canadianmysteries.ca/en/4179.php,bias,404,https://canadianmysteries.ca/en/4179.php,,False,True,HTTP 404
