old_url,native_url,match_via,nid,source_file,status,notes
/node/14806,/history-content/website-reviews/emma-goldman-papers/,node,14806,history-content/website-reviews/emma-goldman-papers.md,matched,
/node/14807,/history-content/website-reviews/franklin-d-roosevelt-presidential-library-and-digital-archives/,node,14807,history-content/website-reviews/franklin-d-roosevelt-presidential-library-and-digital-archives.md,matched,
/node/14808,/history-content/website-reviews/oral-history-digital-collection/,node,14808,history-content/website-reviews/oral-history-digital-collection.md,matched,
/node/14809,/history-content/website-reviews/samuel-j-may-anti-slavery-collection/,node,14809,history-content/website-reviews/samuel-j-may-anti-slavery-collection.md,matched,
/node/14810,/history-content/website-reviews/nineteenth-century-american-children-and-what-they-read/,node,14810,history-content/website-reviews/nineteenth-century-american-children-and-what-they-read.md,matched,
/node/14811,/history-content/website-reviews/child-labor-in-america-1908-1912-photographs-of-lewis-w-hine/,node,14811,history-content/website-reviews/child-labor-in-america-1908-1912-photographs-of-lewis-w-hine.md,matched,
/node/14812,/history-content/website-reviews/american-radicalism-collection/,node,14812,history-content/website-reviews/american-radicalism-collection.md,matched,
/node/14813,/history-content/website-reviews/race-and-place/,node,14813,history-content/website-reviews/race-and-place.md,matched,
/node/14814,/history-content/website-reviews/alcohol-temperance-and-prohibition/,node,14814,history-content/website-reviews/alcohol-temperance-and-prohibition.md,matched,
/node/14815,/history-content/website-reviews/willa-cather-archive/,node,14815,history-content/website-reviews/willa-cather-archive.md,matched,
/node/14816,/history-content/website-reviews/voices-from-the-dust-bowl-1940-1941/,node,14816,history-content/website-reviews/voices-from-the-dust-bowl-1940-1941.md,matched,
/node/14817,/history-content/website-reviews/remembering-jim-crow/,node,14817,history-content/website-reviews/remembering-jim-crow.md,matched,
/node/14818,/history-content/website-reviews/the-vault/,node,14818,history-content/website-reviews/the-vault.md,matched,
/node/14819,/history-content/website-reviews/multilaterals-project/,node,14819,history-content/website-reviews/multilaterals-project.md,matched,
/node/14820,/history-content/website-reviews/wright-american-fiction-1851-1875/,node,14820,history-content/website-reviews/wright-american-fiction-1851-1875.md,matched,
/node/14821,/history-content/website-reviews/civil-war-treasures-from-the-new-york-historical-society/,node,14821,history-content/website-reviews/civil-war-treasures-from-the-new-york-historical-society.md,matched,
