section,page_title,page_url,source_file,link_url,link_text,http_status,final_url,remote_title,redirect_domain_changed,needs_review,reason
best-practices,Sourcing a Primary Document,/best-practices/examples-of-historical-thinking/15765,best-practices/examples-of-historical-thinking/sourcing-a-primary-document-15765.md,http://historicalthinkingmatters.org/scopestrial/0/inquiry/main/resources/41/,historian think aloud,200,https://historicalthinkingmatters.org/scopestrial/0/inquiry/main/resources/41/,Historical Thinking Matters: Scopes Trial,False,False,
best-practices,Exploring Historical Texts in a Discussion-Based Class,/best-practices/teaching-in-action/20374,best-practices/teaching-in-action/exploring-historical-texts-in-a-discussion-based-class-20374.md,http://www.learner.org/resources/series172.html?pop=yes&pid=1864#,*Learning from Others: Learning in a Social Context*,404,https://www.learner.org/resources/series172.html?pop=yes&pid=1864,,False,True,HTTP 404
best-practices,Exploring Historical Texts in a Discussion-Based Class,/best-practices/teaching-in-action/20374,best-practices/teaching-in-action/exploring-historical-texts-in-a-discussion-based-class-20374.md,http://www.learner.org,Annenberg Media,200,https://www.learner.org/,Annenberg Learner - Annenberg Learner,False,False,
best-practices,Exploring Historical Texts in a Discussion-Based Class,/best-practices/teaching-in-action/20374,best-practices/teaching-in-action/exploring-historical-texts-in-a-discussion-based-class-20374.md,http://www.pbs.org/wnet/historyofus/web07/segment2b.html,Southern laws known as Black Codes.,403,https://www.thirteen.org/wnet/historyofus/web07/segment2b.html,,True,True,HTTP 403; redirected to different domain: thirteen.org
best-practices,Foundations of American History: John Brown Song,/best-practices/teaching-in-action/22158,best-practices/teaching-in-action/foundations-of-american-history-john-brown-song-22158.md,http://chnm.gmu.edu/loudountah/index.php,"Foundations of U.S. History, Virginia History as U.S. History",200,https://rrchnm.org,Roy Rosenzweig Center for History and New Media,True,True,redirected to different domain: rrchnm.org
best-practices,Foundations of American History: John Brown Song,/best-practices/teaching-in-action/22158,best-practices/teaching-in-action/foundations-of-american-history-john-brown-song-22158.md,http://chnm.gmu.edu/loudountah/,"*Foundations of U.S. History, Virginia History as U.S. History*",200,https://chnm.gmu.edu/loudountah/,Foundations of U.S. History: A TAH Grant,False,False,
best-practices,Foundations of American History: John Brown Song,/best-practices/teaching-in-action/22158,best-practices/teaching-in-action/foundations-of-american-history-john-brown-song-22158.md,http://chnm.gmu.edu/loudountah/source-analysis/john-brown-song/classroom-practice/,4th graders learning about John Brown's raid,200,https://rrchnm.org,Roy Rosenzweig Center for History and New Media,True,True,redirected to different domain: rrchnm.org
best-practices,Foundations of American History: John Brown Song,/best-practices/teaching-in-action/22158,best-practices/teaching-in-action/foundations-of-american-history-john-brown-song-22158.md,http://chnm.gmu.edu/loudountah/source-analysis/john-brown-song/get-the-songs/,"""John Brown's Body",200,https://rrchnm.org,Roy Rosenzweig Center for History and New Media,True,True,redirected to different domain: rrchnm.org
best-practices,Foundations of American History: John Brown Song,/best-practices/teaching-in-action/22158,best-practices/teaching-in-action/foundations-of-american-history-john-brown-song-22158.md,http://chnm.gmu.edu/loudountah/source-analysis/john-brown-song/scholar-analysis/,short videos of a scholar analyzing the song,200,https://rrchnm.org,Roy Rosenzweig Center for History and New Media,True,True,redirected to different domain: rrchnm.org
best-practices,Foundations of American History: John Brown Song,/best-practices/teaching-in-action/22158,best-practices/teaching-in-action/foundations-of-american-history-john-brown-song-22158.md,http://chnm.gmu.edu/loudountah/source-analysis/john-brown-song/teacher-analysis/,teacher reflecting on the lesson,200,https://rrchnm.org,Roy Rosenzweig Center for History and New Media,True,True,redirected to different domain: rrchnm.org
best-practices,Foundations of American History: John Brown Song,/best-practices/teaching-in-action/22158,best-practices/teaching-in-action/foundations-of-american-history-john-brown-song-22158.md,http://chnm.gmu.edu/loudountah/lessons/lesson5/BrownBodyGuidingQuestions.pdf,Guiding Question worksheet,200,https://rrchnm.org,Roy Rosenzweig Center for History and New Media,True,True,redirected to different domain: rrchnm.org
best-practices,Foundations of American History: John Brown Song,/best-practices/teaching-in-action/22158,best-practices/teaching-in-action/foundations-of-american-history-john-brown-song-22158.md,http://chnm.gmu.edu/loudountah/source-analysis/john-brown-song/lesson-plan/,comprehensive lesson plan,200,https://rrchnm.org,Roy Rosenzweig Center for History and New Media,True,True,redirected to different domain: rrchnm.org
best-practices,Geo-Literacy Project: Students Explore Their World,/best-practices/teaching-in-action/23798,best-practices/teaching-in-action/geo-literacy-project-students-explore-their-world-23798.md,http://www.edutopia.org/geography-literacy-elementary-project-video,website,404,https://www.edutopia.org/geography-literacy-elementary-project-video,,False,True,HTTP 404
best-practices,Historical Context and Roleplaying,/best-practices/teaching-in-action/14947,best-practices/teaching-in-action/historical-context-and-roleplaying-14947.md,http://www.tc.edu/ncrest/teachers/andrews/index.htm,website,200,https://www.tc.columbia.edu/ncrest/teachers/andrews/index.htm,5th Grade Social Studies:  Colonial Perspectives,True,True,redirected to different domain: tc.columbia.edu
best-practices,Massive Resistance through Political Cartoons,/best-practices/teaching-in-action/23894,best-practices/teaching-in-action/massive-resistance-through-political-cartoons-23894.md,http://chnm.gmu.edu/acpstah/,"Teaching American
  History",200,https://chnm.gmu.edu/acpstah/,Creating a More Perfect Community,False,False,
best-practices,Massive Resistance through Political Cartoons,/best-practices/teaching-in-action/23894,best-practices/teaching-in-action/massive-resistance-through-political-cartoons-23894.md,http://www.neh.gov/divisions/education/summer-programs,"National Endowment for the Humanities Summer
  Institute",200,https://www.neh.gov/divisions/education/summer-programs,Division of Education Professional Development Programs | National Endowment for the Humanities,False,False,
best-practices,Massive Resistance through Political Cartoons,/best-practices/teaching-in-action/23894,best-practices/teaching-in-action/massive-resistance-through-political-cartoons-23894.md,http://www.aamprogram.org/index2.aspx,"The Adventure
  of the American Mind",200,http://www.aamprogram.org/index2.aspx,aamprogram.org,False,False,
best-practices,Opening up the Textbook: Voices from My Lai,/best-practices/teaching-in-action/23893,best-practices/teaching-in-action/opening-up-the-textbook-voices-from-my-lai-23893.md,http://chnm.gmu.edu/mcpstah/,Conflict and Consensus: Key Moments in U.S. History,200,https://chnm.gmu.edu/mcpstah/,MCPS TAH: Conflict and Consensus,False,False,
best-practices,Organize Your Thinking to Critically Analyze Text,/best-practices/teaching-in-action/25461,best-practices/teaching-in-action/organize-your-thinking-to-critically-analyze-text-25461.md,https://www.teachingchannel.org/videos/organize-your-thinking-to-critically-analyze-text?resume=0,video,CONN_ERROR,,,False,True,Connection failed (site may be down)
best-practices,Prologue to Studying the Emancipation Proclamation,/best-practices/teaching-in-action/21706,best-practices/teaching-in-action/prologue-to-studying-the-emancipation-proclamation-21706.md,http://chnm.gmu.edu/mcpstah/source-analysis/civil-war-letters/classroom-practice/,This website,403,https://chnm.gmu.edu/mcpstah/source-analysis/civil-war-letters/classroom-practice/,,False,True,HTTP 403
best-practices,Prologue to Studying the Emancipation Proclamation,/best-practices/teaching-in-action/21706,best-practices/teaching-in-action/prologue-to-studying-the-emancipation-proclamation-21706.md,http://chnm.gmu.edu/mcpstah/source-analysis/,Source Analysis,403,https://chnm.gmu.edu/mcpstah/source-analysis/,,False,True,HTTP 403
best-practices,Prologue to Studying the Emancipation Proclamation,/best-practices/teaching-in-action/21706,best-practices/teaching-in-action/prologue-to-studying-the-emancipation-proclamation-21706.md,http://chnm.gmu.edu/mcpstah/source-analysis/civil-war-letters/scholar-analysis/,Scholar Analysis,403,https://chnm.gmu.edu/mcpstah/source-analysis/civil-war-letters/scholar-analysis/,,False,True,HTTP 403
best-practices,Prologue to Studying the Emancipation Proclamation,/best-practices/teaching-in-action/21706,best-practices/teaching-in-action/prologue-to-studying-the-emancipation-proclamation-21706.md,http://chnm.gmu.edu/mcpstah/source-analysis/civil-war-letters/teacher-analysis/,Teacher Analysis,403,https://chnm.gmu.edu/mcpstah/source-analysis/civil-war-letters/teacher-analysis/,,False,True,HTTP 403
best-practices,Prologue to Studying the Emancipation Proclamation,/best-practices/teaching-in-action/21706,best-practices/teaching-in-action/prologue-to-studying-the-emancipation-proclamation-21706.md,http://chnm.gmu.edu/mcpstah/source-analysis/civil-war-letters/read-the-letters/,two letters,403,https://chnm.gmu.edu/mcpstah/source-analysis/civil-war-letters/read-the-letters/,,False,True,HTTP 403
best-practices,Reading and Thinking Aloud to Understand,/best-practices/teaching-in-action/20795,best-practices/teaching-in-action/reading-and-thinking-aloud-to-understand-20795.md,http://www.wested.org/cs/ra/print/docs/ra/home.htm,Reading Apprenticeship,404,https://www.wested.org/cs/ra/print/docs/ra/home.htm,,False,True,HTTP 404
best-practices,Reading and Thinking Aloud to Understand,/best-practices/teaching-in-action/20795,best-practices/teaching-in-action/reading-and-thinking-aloud-to-understand-20795.md,https://readingapprenticeship.org/video/honors-u-s-history/,video,200,https://disciplinaryliteracy.wested.org/,Disciplinary Literacy,True,True,redirected to different domain: disciplinaryliteracy.wested.org
best-practices,Reading and Thinking Aloud to Understand,/best-practices/teaching-in-action/20795,best-practices/teaching-in-action/reading-and-thinking-aloud-to-understand-20795.md,http://www.pbs.org/childofcamp/history/index.html,Japanese American internment,200,http://www.pbs.org/childofcamp/history/index.html,Children of the Camps | INTERNMENT HISTORY,False,False,
best-practices,Reading and Thinking Aloud to Understand,/best-practices/teaching-in-action/20795,best-practices/teaching-in-action/reading-and-thinking-aloud-to-understand-20795.md,http://www.law.cornell.edu/supct/html/historics/USSC_CR_0323_0214_ZO.html,*Korematsu vs. the United States*,200,https://www.law.cornell.edu/supremecourt/text/323/214,TOYOSABURO KOREMATSU v. UNITED STATES. | Supreme Court | US Law | LII / Legal Information Institute,False,False,
best-practices,Teaching Historical Interpretation through Planning Documentary Films,/best-practices/teaching-in-action/20341,best-practices/teaching-in-action/teaching-historical-interpretation-through-planning-documentary-films-20341.md,http://www.firstworldwar.com/battles/somme.htm,"Battle of the Somme,",SSL_ERROR,,,False,True,SSL certificate error
best-practices,Teaching Historical Interpretation through Planning Documentary Films,/best-practices/teaching-in-action/20341,best-practices/teaching-in-action/teaching-historical-interpretation-through-planning-documentary-films-20341.md,http://www.imdb.com/title/tt0006405/,documentary film,202,https://www.imdb.com/title/tt0006405/,,False,False,
best-practices,Teaching Strategies for Museums: Graphic Organizers,/best-practices/teaching-in-action/24216,best-practices/teaching-in-action/teaching-strategies-for-museums-graphic-organizers-24216.md,http://www.smithsoniansource.org/display/topic/video/viewdetailstea.aspx?TopicId=1033,video,200,http://www.smithsoniansource.org/display/topic/video/viewdetailstea.aspx?TopicId=1033,,False,False,
best-practices,Third Graders Analyzing Historical Sources,/best-practices/teaching-in-action/23724,best-practices/teaching-in-action/third-graders-analyzing-historical-sources-23724.md,http://www.bringinghistoryhome.org/,Bringing History Home,200,http://www.bringinghistoryhome.org/,Bringing History Home,False,False,
best-practices,What Does It Mean to Be an American?,/best-practices/teaching-in-action/22440,best-practices/teaching-in-action/what-does-it-mean-to-be-an-american-22440.md,http://schools.nyc.gov/SchoolPortals/04/M057/default.htm,"James Weldon
  Johnson",200,https://schoolsearch.schools.nyc/,Find a School - New York City Department of Education,True,True,redirected to different domain: schoolsearch.schools.nyc
best-practices,Children’s Voices from the Civil War,/best-practices/teaching-with-textbooks/22467,best-practices/teaching-with-textbooks/childrens-voices-from-the-civil-war-22467.md,http://www.jhucsos.org/,"Center for Social Organization
  of Schools",403,https://education.jhu.edu/csos,,True,True,HTTP 403; redirected to different domain: education.jhu.edu
best-practices,Children’s Voices from the Civil War,/best-practices/teaching-with-textbooks/22467,best-practices/teaching-with-textbooks/childrens-voices-from-the-civil-war-22467.md,http://www.amazon.com/History-US-Book-Terrible-1855-1865/dp/0195153308/ref=sr_1_1?ie=UTF8&s=books&qid=1241881598&sr=1-1,excellent textbook *A History of US*,200,https://www.amazon.com/History-US-Book-Terrible-1855-1865/dp/0195153308/ref=sr_1_1?ie=UTF8&s=books&qid=1241881598&sr=1-1,,False,False,
best-practices,Children’s Voices from the Civil War,/best-practices/teaching-with-textbooks/22467,best-practices/teaching-with-textbooks/childrens-voices-from-the-civil-war-22467.md,http://memory.loc.gov/cgi-bin/query/r?ammem/awhbib:@field(NUMBER+@od1(cph+3g07983,"photograph, ""A Soldier and His Family.""",TIMEOUT,,,False,True,Timed out after 15s
best-practices,Learning Menus: Textbooks a la Carte,/best-practices/teaching-with-textbooks/25584,best-practices/teaching-with-textbooks/learning-menus-textbooks-a-la-carte-25584.md,http://differentiationcentral.com/what-is-differentiated-instruction/,differentiated learning,200,https://differentiationcentral.com/what-is-differentiated-instruction/,What is Differentiated Instruction? | Differentiation Central,False,False,
best-practices,Learning Menus: Textbooks a la Carte,/best-practices/teaching-with-textbooks/25584,best-practices/teaching-with-textbooks/learning-menus-textbooks-a-la-carte-25584.md,https://www.teachingchannel.org/video/differentiating-instruction-strategy,Differentiating with Learning Menus,CONN_ERROR,,,False,True,Connection failed (site may be down)
best-practices,Learning Menus: Textbooks a la Carte,/best-practices/teaching-with-textbooks/25584,best-practices/teaching-with-textbooks/learning-menus-textbooks-a-la-carte-25584.md,https://www.teachingchannel.org/,Teaching Channel website,CONN_ERROR,,,False,True,Connection failed (site may be down)
best-practices,Opening Up the Textbook,/best-practices/teaching-with-textbooks/19438,best-practices/teaching-with-textbooks/opening-up-the-textbook-19438.md,http://historicalthinkingmatters.org/,Historical Thinking Matters,200,https://historicalthinkingmatters.org/,Historical Thinking Matters: home page,False,False,
best-practices,Opening Up the Textbook,/best-practices/teaching-with-textbooks/19438,best-practices/teaching-with-textbooks/opening-up-the-textbook-19438.md,http://historicalthinkingmatters.org/rosaparks/1/materials/textbook/,Rosa Parks and Montgomery Bus Boycott,200,https://historicalthinkingmatters.org/rosaparks/1/materials/textbook/,Historical Thinking Matters: Rosa Parks,False,False,
best-practices,Opening Up the Textbook,/best-practices/teaching-with-textbooks/19438,best-practices/teaching-with-textbooks/opening-up-the-textbook-19438.md,http://historicalthinkingmatters.org/spanishamericanwar/1/materials/textbook/,Causes of the Spanish-American War,200,https://historicalthinkingmatters.org/spanishamericanwar/1/materials/textbook/,Historical Thinking Matters: Spanish-American War,False,False,
best-practices,Questioning Textbook Authority,/best-practices/teaching-with-textbooks/20571,best-practices/teaching-with-textbooks/questioning-textbook-authority-20571.md,http://sitemaker.soe.umich.edu/soe/faculty_introduction&mode=single&recordID=50709,Robert Bain,CONN_ERROR,,,False,True,Connection failed (site may be down)
