Content Category Name,Page Title,New Dev URL,Drupal URL,Links Status,Notes
Tech for Teachers,Scribblar,https://dev.teachinghistory.org/digital-classroom/tech-for-teachers/24475/,,All Working,
Tech for Teachers,Prezi,https://dev.teachinghistory.org/digital-classroom/tech-for-teachers/24457/,,All Working,
Tech for Teachers,Document Cameras,https://dev.teachinghistory.org/digital-classroom/tech-for-teachers/24414/,,,no links
Tech for Teachers,DocsTeach,https://dev.teachinghistory.org/digital-classroom/tech-for-teachers/24268/,,All Working,
Tech for Teachers,MindMapping: Visualizing Historical Though,https://dev.teachinghistory.org/digital-classroom/tech-for-teachers/24177/,,All Working,
Tech for Teachers,Search Engines,https://dev.teachinghistory.org/digital-classroom/tech-for-teachers/23822/,,,no links
Tech for Teachers,Weebly,https://dev.teachinghistory.org/digital-classroom/tech-for-teachers/23819/,,All Working,
Tech for Teachers,Skype,https://dev.teachinghistory.org/digital-classroom/tech-for-teachers/23569/,,Some or All Broken,The link works but skype has been subsumed by teams... should delete
Tech for Teachers,Facebook,https://dev.teachinghistory.org/digital-classroom/tech-for-teachers/23474/,,All Working,
Tech for Teachers,Diigo,https://dev.teachinghistory.org/digital-classroom/tech-for-teachers/23471/,,All Working,
Tech for Teachers,Twitter,https://dev.teachinghistory.org/digital-classroom/tech-for-teachers/21851/,,All Working,
Tech for Teachers,VoiceThread,https://dev.teachinghistory.org/digital-classroom/tech-for-teachers/21844/,,All Working,
Tech for Teachers,Whiteboards,https://dev.teachinghistory.org/digital-classroom/tech-for-teachers/21577/,,,no links
Tech for Teachers,Wordle,https://dev.teachinghistory.org/digital-classroom/tech-for-teachers/20785/,,All Working,"link works, just called wordora now"
Tech for Teachers,RSS,https://dev.teachinghistory.org/digital-classroom/tech-for-teachers/20697/,,,no links
Tech for Teachers,Slideshare,https://dev.teachinghistory.org/digital-classroom/tech-for-teachers/20693/,,All Working,
Tech for Teachers,Ning,https://dev.teachinghistory.org/digital-classroom/tech-for-teachers/20674/,,All Working,
Tech for Teachers,Wikis,https://dev.teachinghistory.org/digital-classroom/tech-for-teachers/14592/,,,no links
Tech for Teachers,Blogs,https://dev.teachinghistory.org/digital-classroom/tech-for-teachers/14590/,,,no links
Tech for Teachers,Web Poster Wizard,https://dev.teachinghistory.org/digital-classroom/tech-for-teachers/14589/,,All Working,
Tech for Teachers,Social Explorer,https://dev.teachinghistory.org/digital-classroom/tech-for-teachers/14588/,,Some or All Broken,need new link. Replace with: https://www.socialexplorer.com/my-home
Tech for Teachers,Primary Access,https://dev.teachinghistory.org/digital-classroom/tech-for-teachers/14587/,,Some or All Broken,would need replacement link (https://stagetools.com/primaryaccess/index.htm) but it requires adobe flash
Tech for Teachers,Google Docs,https://dev.teachinghistory.org/digital-classroom/tech-for-teachers/14586/,,All Working,
Tech for Teachers,Zotero,https://dev.teachinghistory.org/digital-classroom/tech-for-teachers/14585/,,All Working,
